iter	RMSE
0	14.6449454
1	14.25850459
2	13.8876709
3	13.54045357
4	13.23282215
5	12.91504321
6	12.59948381
7	12.3016556
8	12.03128793
9	11.8007403
10	11.51474125
11	11.26009924
12	11.00856062
13	10.76496432
14	10.53535867
15	10.31523443
16	10.1086039
17	9.918853545
18	9.719799914
19	9.542095695
20	9.35876047
21	9.226477088
22	9.078642694
23	8.907940963
24	8.744938118
25	8.596886002
26	8.465802493
27	8.330577028
28	8.193152252
29	8.066278916
30	7.939932168
31	7.823309383
32	7.735185797
33	7.628183845
34	7.54272417
35	7.443953729
36	7.362141715
37	7.26651495
38	7.18300177
39	7.102906776
40	7.018885751
41	6.959517434
42	6.881969644
43	6.806091988
44	6.743585635
45	6.675743671
46	6.607299732
47	6.547819042
48	6.496348085
49	6.445769402
50	6.394529233
51	6.339828954
52	6.291056736
53	6.241804423
54	6.205984152
55	6.160595389
56	6.124705699
57	6.087146287
58	6.0566349
59	6.020357961
60	5.988275759
61	5.957058429
62	5.929619405
63	5.896991381
64	5.863924339
65	5.830241591
66	5.802957793
67	5.776069674
68	5.754476567
69	5.72562748
70	5.702610059
71	5.676568095
72	5.658566228
73	5.638701085
74	5.619230941
75	5.596789818
76	5.578692194
77	5.563592714
78	5.549648202
79	5.535713566
80	5.520231505
81	5.503289303
82	5.487832481
83	5.473774176
84	5.463342767
85	5.449731872
86	5.434294689
87	5.421063757
88	5.412200178
89	5.400243129
90	5.383655677
91	5.379014855
92	5.369505046
93	5.354355539
94	5.344011564
95	5.33183281
96	5.319816023
97	5.308877188
98	5.301767255
99	5.292576511
100	5.284727356
101	5.276090173
102	5.265922203
103	5.256918299
104	5.249619801
105	5.244451676
106	5.234987769
107	5.222759032
108	5.215663969
109	5.208845633
110	5.202088222
111	5.195583765
112	5.184305489
113	5.179674118
114	5.173409091
115	5.166825436
116	5.158031996
117	5.152859359
118	5.146283937
119	5.141317182
120	5.136930341
121	5.131889791
122	5.125379303
123	5.117824279
124	5.11284731
125	5.108534416
126	5.104237114
127	5.098823893
128	5.097262294
129	5.092647097
130	5.087640685
131	5.081540144
132	5.073815732
133	5.068169979
134	5.062741842
135	5.059281866
136	5.053275602
137	5.048825689
138	5.046118718
139	5.040174512
140	5.037664964
141	5.035681306
142	5.03032755
143	5.026063946
144	5.020323981
145	5.01446313
146	5.005962968
147	5.000130501
148	4.99347604
149	4.986337423
150	4.98329658
151	4.980116614
152	4.974618097
153	4.971549989
154	4.967765413
155	4.964307949
156	4.962134712
157	4.95847257
158	4.950140147
159	4.94572262
160	4.940265653
161	4.936913461
162	4.935156149
163	4.929969514
164	4.927049959
165	4.922505638
166	4.919295641
167	4.915335508
168	4.911765449
169	4.906545038
170	4.903763116
171	4.901604652
172	4.895540725
173	4.890784366
174	4.886448474
175	4.881586395
176	4.876022198
177	4.872606326
178	4.867711098
179	4.864477026
180	4.860236893
181	4.855949522
182	4.852430292
183	4.850526961
184	4.844458011
185	4.841125921
186	4.83684168
187	4.832112944
188	4.826052745
189	4.821155793
190	4.816925871
191	4.812923857
192	4.810345883
193	4.808910224
194	4.804063837
195	4.802133433
196	4.799383661
197	4.793323077
198	4.788045627
199	4.786787236
200	4.781538501
201	4.778884975
202	4.772953105
203	4.767727522
204	4.764759409
205	4.761233663
206	4.757299079
207	4.754344727
208	4.752185936
209	4.749450377
210	4.747387255
211	4.743019286
212	4.73934662
213	4.736193398
214	4.730464686
215	4.724211623
216	4.720403923
217	4.716969321
218	4.715570462
219	4.713801273
220	4.711990056
221	4.709082536
222	4.705475665
223	4.703616965
224	4.701830549
225	4.69744681
226	4.694090965
227	4.692444377
228	4.691767499
229	4.685010441
230	4.68276293
231	4.67974129
232	4.675270375
233	4.672548834
234	4.670890309
235	4.667007796
236	4.664026594
237	4.661932935
238	4.659310903
239	4.657608984
240	4.653410167
241	4.650319874
242	4.647002716
243	4.645277657
244	4.644767553
245	4.642193988
246	4.639685708
247	4.639165893
248	4.636189614
249	4.632131487
250	4.628288081
251	4.623876179
252	4.622248245
253	4.619419287
254	4.617347626
255	4.613543571
256	4.612002344
257	4.611041152
258	4.605396454
259	4.602281024
260	4.599332871
261	4.597842226
262	4.597212232
263	4.593698214
264	4.589943166
265	4.588143711
266	4.580834444
267	4.577327864
268	4.574769934
269	4.569538143
270	4.564566329
271	4.559025374
272	4.557013828
273	4.555074852
274	4.553534987
275	4.546916001
276	4.540207889
277	4.535782616
278	4.533071375
279	4.530234296
280	4.526501936
281	4.52414403
282	4.520647233
283	4.514588813
284	4.507936635
285	4.504915101
286	4.503486139
287	4.501355823
288	4.4967351
289	4.492264196
290	4.491359581
291	4.485796759
292	4.481114567
293	4.476932572
294	4.471361973
295	4.470942121
296	4.468580545
297	4.464697475
298	4.460917397
299	4.457657491
300	4.454144042
301	4.451336946
302	4.448984179
303	4.443750348
304	4.441653495
305	4.441120863
306	4.437142312
307	4.435111046
308	4.431465851
309	4.428399872
310	4.427943211
311	4.422479524
312	4.41852413
313	4.41794962
314	4.413672531
315	4.407854709
316	4.404815039
317	4.402651348
318	4.399294244
319	4.39555002
320	4.394703617
321	4.389970785
322	4.387154721
323	4.38637203
324	4.382538593
325	4.378250495
326	4.374722637
327	4.37194176
328	4.37127381
329	4.369404135
330	4.367939897
331	4.363140254
332	4.36089726
333	4.358593501
334	4.354811336
335	4.352364042
336	4.351908348
337	4.347604629
338	4.347240439
339	4.344274144
340	4.34139485
341	4.339214383
342	4.335995158
343	4.334004318
344	4.330497884
345	4.327584905
346	4.323755435
347	4.323533072
