iter	Passed	Remaining
0	162	161958
1	164	81904
2	166	55336
3	168	41998
4	170	33896
5	172	28646
6	175	24879
7	177	22063
8	180	19906
9	183	18145
10	186	16754
11	189	15579
12	191	14570
13	194	13732
14	198	13003
15	200	12322
16	202	11708
17	204	11134
18	206	10654
19	208	10237
20	210	9829
21	213	9501
22	215	9154
23	217	8841
24	219	8544
25	220	8275
26	222	8020
27	225	7812
28	227	7625
29	229	7421
30	232	7255
31	233	7059
32	235	6902
33	236	6723
34	239	6604
35	242	6501
36	244	6352
37	245	6209
38	247	6090
39	250	6002
40	252	5915
41	253	5791
42	256	5713
43	258	5619
44	260	5538
45	262	5444
46	264	5371
47	267	5313
48	270	5252
49	272	5184
50	275	5121
51	277	5057
52	278	4984
53	281	4930
54	283	4865
55	284	4795
56	286	4739
57	287	4677
58	289	4611
59	291	4562
60	292	4509
61	294	4459
62	296	4411
63	298	4362
64	300	4317
65	301	4271
66	303	4225
67	304	4179
68	306	4134
69	307	4091
70	309	4050
71	311	4009
72	312	3968
73	313	3927
74	315	3887
75	316	3847
76	317	3807
77	318	3769
78	319	3725
79	320	3689
80	322	3653
81	323	3618
82	324	3584
83	325	3548
84	326	3514
85	327	3482
86	328	3451
87	330	3420
88	331	3388
89	331	3355
90	332	3325
91	333	3289
92	334	3260
93	335	3231
94	336	3203
95	337	3174
96	337	3145
97	338	3119
98	339	3090
99	340	3063
100	341	3036
101	341	3010
102	342	2984
103	343	2959
104	344	2934
105	344	2908
106	345	2885
107	346	2861
108	347	2838
109	348	2815
110	348	2792
111	349	2770
112	350	2748
113	350	2727
114	351	2706
115	352	2686
116	353	2665
117	353	2645
118	354	2626
119	355	2606
120	356	2586
121	356	2567
122	357	2548
123	358	2530
124	358	2512
125	359	2494
126	360	2477
127	361	2461
128	361	2441
129	362	2425
130	363	2409
131	363	2393
132	364	2377
133	365	2361
134	366	2345
135	366	2330
136	367	2315
137	368	2300
138	369	2285
139	369	2271
140	370	2256
141	371	2242
142	372	2229
143	372	2217
144	373	2203
145	374	2191
146	375	2178
147	376	2166
148	377	2153
149	377	2141
150	378	2128
151	379	2116
152	380	2103
153	380	2092
154	381	2080
155	382	2068
156	383	2056
157	383	2045
158	384	2034
159	385	2024
160	386	2012
161	387	2002
162	387	1991
163	388	1980
164	389	1970
165	390	1960
166	391	1951
167	392	1941
168	392	1931
169	393	1921
170	394	1912
171	395	1902
172	395	1892
173	396	1883
174	397	1873
175	398	1865
176	399	1856
177	400	1847
178	400	1838
179	401	1829
180	402	1820
181	403	1811
182	403	1802
183	404	1793
184	405	1784
185	405	1776
186	406	1767
187	407	1758
188	408	1750
189	408	1742
190	409	1734
191	410	1726
192	411	1719
193	411	1711
194	412	1703
195	413	1695
196	414	1688
197	414	1680
198	415	1673
199	416	1665
200	417	1658
201	417	1650
202	418	1643
203	419	1636
204	420	1629
205	421	1622
206	421	1616
207	422	1609
208	423	1602
209	424	1595
210	424	1589
211	425	1582
212	426	1576
213	427	1569
214	428	1563
215	428	1557
216	429	1550
217	430	1544
218	431	1538
219	432	1531
220	432	1525
221	433	1519
222	434	1512
223	434	1506
224	435	1500
225	436	1495
226	437	1488
227	437	1482
228	438	1476
229	439	1471
230	440	1465
231	441	1460
232	441	1454
233	442	1448
234	443	1443
235	444	1437
236	444	1432
237	445	1426
238	446	1421
239	447	1415
240	447	1410
241	448	1405
242	449	1400
243	450	1395
244	451	1389
245	451	1384
246	452	1379
247	453	1374
248	454	1369
249	454	1364
250	455	1359
251	456	1354
252	457	1349
253	457	1344
254	458	1339
255	459	1335
256	460	1330
257	461	1325
258	461	1321
259	462	1316
260	463	1311
261	463	1306
262	464	1302
263	465	1297
264	466	1293
265	466	1288
266	467	1284
267	468	1279
268	469	1275
269	470	1271
270	470	1266
271	471	1262
272	472	1257
273	473	1253
274	473	1249
275	474	1244
276	475	1240
277	475	1236
278	476	1231
279	477	1227
280	478	1223
281	478	1219
282	479	1215
283	480	1211
284	481	1207
285	481	1203
286	482	1199
287	483	1195
288	484	1191
289	484	1187
290	485	1183
291	486	1179
292	487	1175
293	487	1171
294	488	1167
295	489	1163
296	489	1159
297	490	1155
298	491	1152
299	492	1148
300	493	1145
301	493	1141
302	494	1137
303	495	1134
304	496	1130
305	496	1126
306	499	1127
307	500	1124
308	501	1121
309	502	1118
310	503	1115
311	504	1112
312	505	1109
313	506	1106
314	507	1103
315	508	1100
316	509	1096
317	510	1094
318	511	1091
319	512	1088
320	512	1085
321	513	1081
322	514	1078
323	515	1075
324	516	1072
325	517	1069
326	517	1066
327	518	1062
328	519	1059
329	520	1056
330	521	1054
331	522	1051
332	523	1048
333	524	1045
334	525	1042
335	525	1039
336	526	1036
337	527	1033
338	528	1030
339	529	1027
340	530	1024
341	531	1021
342	531	1019
343	532	1015
344	533	1013
345	534	1010
346	535	1007
347	536	1004
348	537	1001
349	537	998
350	538	996
351	539	993
352	540	991
353	541	988
354	542	985
355	543	983
356	544	980
357	545	977
358	546	974
359	546	971
360	547	969
361	548	966
362	549	963
363	550	961
364	550	958
365	551	955
366	552	952
367	553	950
368	553	947
369	554	944
370	555	941
371	556	939
372	557	936
373	557	933
374	558	930
375	559	927
376	559	924
377	560	922
378	561	919
379	562	917
380	562	914
381	563	911
382	564	908
383	564	906
384	565	903
385	566	900
386	566	897
387	567	895
388	568	893
389	569	890
390	570	887
391	570	885
392	571	882
393	572	880
394	573	878
395	574	875
396	574	873
397	575	870
398	576	868
399	576	865
400	577	862
401	578	859
402	579	857
403	579	855
404	580	853
