iter	Passed	Remaining
0	163	163195
1	166	83252
2	169	56248
3	170	42552
4	172	34309
5	173	28774
6	174	24780
7	175	21769
8	176	19436
9	177	17575
10	178	16055
11	179	14770
12	180	13704
13	181	12771
14	182	11968
15	183	11266
16	184	10671
17	185	10132
18	186	9653
19	188	9223
20	189	8848
21	191	8497
22	192	8161
23	193	7851
24	194	7577
25	195	7316
26	196	7068
27	197	6846
28	198	6632
29	199	6434
30	199	6251
31	200	6078
32	201	5915
33	202	5761
34	203	5616
35	204	5478
36	205	5352
37	206	5225
38	207	5111
39	208	4998
40	209	4889
41	210	4792
42	211	4703
43	212	4614
44	213	4533
45	214	4450
46	215	4369
47	216	4293
48	217	4225
49	219	4161
50	220	4094
51	220	4027
52	221	3964
53	222	3904
54	223	3845
55	224	3787
56	225	3733
57	226	3681
58	227	3629
59	228	3581
60	229	3534
61	230	3489
62	231	3446
63	232	3404
64	233	3363
65	234	3321
66	235	3283
67	236	3246
68	237	3210
69	239	3175
70	239	3139
71	240	3102
72	241	3070
73	243	3045
74	244	3012
75	245	2981
76	246	2951
77	247	2924
78	248	2898
79	249	2871
80	250	2846
81	252	2822
82	252	2791
83	253	2764
84	254	2741
85	256	2721
86	257	2697
87	258	2674
88	258	2651
89	260	2630
90	262	2618
91	263	2596
92	264	2576
93	265	2556
94	266	2536
95	267	2516
96	268	2495
97	269	2477
98	270	2457
99	270	2437
100	271	2418
101	272	2402
102	273	2384
103	274	2366
104	275	2350
105	276	2333
106	277	2317
107	278	2302
108	279	2286
109	280	2271
110	281	2255
111	282	2242
112	283	2227
113	284	2214
114	285	2199
115	286	2186
116	287	2170
117	288	2156
118	289	2143
119	290	2129
120	291	2117
121	292	2102
122	293	2089
123	294	2077
124	295	2065
125	296	2053
126	296	2039
127	297	2028
128	298	2017
129	300	2007
130	301	1996
131	301	1985
132	302	1974
133	303	1964
134	305	1955
135	306	1944
136	307	1934
137	308	1924
138	309	1915
139	310	1905
140	311	1897
141	312	1885
142	313	1877
143	314	1868
144	315	1859
145	317	1855
146	318	1846
147	319	1837
148	320	1828
149	321	1819
150	322	1812
151	323	1802
152	324	1794
153	325	1785
154	326	1778
155	327	1770
156	328	1764
157	329	1756
158	330	1748
159	331	1740
160	332	1730
161	333	1722
162	334	1715
163	335	1708
164	336	1701
165	337	1693
166	338	1686
167	339	1678
168	340	1672
169	341	1665
170	341	1657
171	342	1650
172	343	1643
